title,description
Certified First Responder (CFR) Certificate,"In New York State, you need a certificate to be a first responder. The Certified First Responder (CFR) Certificate comes from the New York State (NYS) Department of Health (NYSDOH)."
"Certified Home Health Agency (CHHA), Operating Certificate",Home health agencies must be certified to operate in New York State. This certificate is from the NYS Department of Health (NYSDOH).
Clinical Laboratory Director or Assistant Director Certificate of Qualification,"To be a director or assistant director of a clinical lab, you need a certificate from the Wadsworth Center of the New York State Department of Health. Laboratories must have a certified director to get a permit."
COF to Supervise the Temporary Storage and Dispensing of Flammable or Combustible Liquids at Construction Sites (S-93),You need a Certificate of Fitness (COF) to watch over the storage and use of flammable or combustible liquids at construction sites. This certificate is only valid for the person it is issued to and can be used anywhere in New York City.
Continuing Care Retirement Community & Fee-for-Service Continuing Care Retirement Community Operating Certificate,"Nursing and retirement homes need an operating certificate from the New York State Department of Health (NYSDOH). It is for facilities that offer continuing care for a fee. These places operate to improve quality of life, not to provide medical care."
"Corporation, Certificate of Incorporation in New York State","If you start a new corporation in New York State, you must file a Certificate of Incorporation with the New York State Department of State (NYSDOS)."
"Diagnostic and Treatment Center (Clinic), Operating Certificate","In New York State, diagnostic and treatment centers (clinics) need a certificate from the New York State Department of Health (NYSDOH)."
Driving School Instructor Certificate,"If you want to teach at a driving school, you need a Driving School Instructor Certificate from the New York State Department of Motor Vehicles (DMV)."
Emergency Medical Services (EMS) Certification,"To become a Certified First Responder (CFR) or an Emergency Medical Technician (EMT), you need to train with an approved course provider. The New York State Department of Health (NYSDOH) approves these providers. After you finish the training, you will get a certificate."
Enhanced Assisted Living Residence (EALR) Certification,Assisted living homes can get a special certificate called the Enhanced Assisted Living Residence (EALR) Certificate from the New York State Department of Health (NYSDOH) to provide additional care.
Environmental Laboratory Approval Program (ELAP) Certification,"The New York State Department of Health (DOH) requires commercial, noncommercial and government labs to get an Environmental Laboratory Approval Program (ELAP) Certification. This is needed to test environmental samples from New York State."
"Euthanize Animals, Certificate to",Organizations must have a certificate to euthanize animals. This certificate is issued by the New York State Department of Health (NYSDOH).
Food Processing Plant Certification,The U.S. Department of Agriculture (USDA) must check and approve all food made at a food processing plant.
Food Protection Certificate,"The NYC Health Academy offers a food protection course for restaurant managers, operators and other staff. Anyone can take this class."
Foster Care Operating Certificate,Foster care residential programs need a Foster Care Operating Certificate from the New York State Office of Child and Family Services (OCFS).
Funeral Firm Certificate of Registration,Funeral firms must register with the New York State Department of Health (NYSDOH). They must meet facility requirement. They must follow laws and rules on customer rights and the treatment of human remains.
Hazardous Substance Bulk Storage Registration Certificate,"If you want to store hazardous substances in bulk, you need a Registration Certificate. The New York State Department of Environmental Conservation (DEC) gives this certificate."
"Hospice Facility, Operating Certificate",Hospices and palliative care facilities need a certificate to operate in New York State. This certificate comes from the New York State Department of Health (NYSDOH).
"Hospital, Operating Certificate",Hospitals in New York State need two certificates: an Operating Certificate and a Certificate of Need. Both come from the New York State Department of Health (NYSDOH).
"Hypodermic Syringes and Needles, Certificate of Need to Possess",Businesses and individuals who need hypodermic syringes for professional reasons must obtain a certificate issued by the New York State Department of Health (NYSDOH).
Interior Design Certification,"In New York State, you need a license to be a ""Certified Interior Designer."" The New York State Education Department (NYSED) issues this certificate."
"Juvenile Detention Facility, Certificate to Operate",You need this certificate to run a juvenile detention facility. The New York State Office of Children and Family Services (OCFS) gives out this certificate.
"Limited Liability Company (Foreign), Certificate of Authority","If your limited liability company (LLC) is from another state, you can register for a Certificate of Authority in New York State. You need to register with the New York State Department of State (NYSDOS)."
"Long-Term Home Health Care Program (LTHHCP), Operating Certificate",Home health care programs need a certificate from the New York State Department of Health (NYSDOH).
"Mobile Laser Operator, Certificate of Competence",You need a certificate to use a mobile laser in New York State. Mobile laser operators must meet requirements for education and experience.
"Motor Vehicle Repair Shop, Official Business Certificate","If you repair motor vehicles, you need a certificate from the New York State DMV."
"Not-for-Profit, Certificate of Incorporation",Not-for-profit corporations (non-profits) must file a Certificate of Incorporation with the New York State Department of State (NYSDOS).
Nursery Dealer Registration Certificate,"If you have a business that buys or gets plant nursery stock to resell, you must register with the New York State Department of Agriculture and Markets."
Pesticide Applicator (Commercial) Certification,"If you use pesticides for a business, you need a Pesticide Applicator (Commercial) Certification. The New York State Department of Environmental Conservation (DEC) gives this permit."
Pesticide Applicator (Private) Certification,"If you use pesticides for agriculture, you need a Pesticide Applicator (Private) Certification. The New York State Department of Environmental Conservation (DEC) gives this permit."
Place of Assembly Certificate of Operation,A Place of Assembly Certificate of Operation (PA) shows that places where many people gather are safe. The Department of Buildings (DOB) issues this certificate.
Plant Grower Registration Certificate,"If you grow plants to sell, you need to register with the New York State Department of Agriculture and Markets."
Private School Agent Certificate,"If you want to recruit students for a private adult school or trade school, you need a certificate. This certificate lets you be a private school agent. The New York State Education Department (NYSED) gives out this certificate."
Processing Plant Superintendent Certification,The State Agriculture and Markets Department says every dairy business needs a certified Processing Plant Superintendent. This person makes sure the plant is clean and safe.
"Radiation Installation, Certificate of Registration for","If you install radiation equipment in New York State, you need a certificate from the New York State Department of Health (NYSDOH)."
Radiation Producing Equipment - Certificate of Registration,"If you own or use any radiation equipment for patient care, you need a Radiation Producing Equipment - Certificate of Registration from the NYC Department of Health and Mental Hygiene (DOHMH). You need this certificate to set up, keep or use the equipment. Registrations are sorted by facility and permit type. You must renew your registration every two years."
Regents Charter / Certificate of Incorporation,Educational institutions in New York need a charter or certificate of incorporation. The New York State Board of Regents gives these.
"Residential Facility for Victims of Domestic Violence, Operating Certificate","The New York State Office of Children and Family Services (OCFS) gives the Operating Certificate. This certificate is for places that help victims of domestic violence, which can be physical, emotional or financial abuse. It can happen in romantic or parent-child relationships. OCFS protects victims and checks these places."
Restricted Asbestos Handler Certification,The Restricted Asbestos Handler Certification is for workers trained at any of the New York State Department of Health approved centers. These workers are certified by the New York State Department of Labor (NYSDOL) and the New York City Department of Environmental Protection (DEP). They perform construction work in preparation for or to assist in the actual abatement work.
"Runaway and Homeless Youth Shelter, Operating Certificate",Homeless youth shelters need permits from the New York State Office of Children and Family Services (OCFS). OCFS works with the New York City Department of Youth and Community Development (DYCD) to oversee shelters in New York City.
"Safe Deposit Company Branch Office, Authorization Certificate",This certificate lets a safe deposit company open a new branch. The State Banking Department gives this certificate.
"Safe Deposit Company Charter, Authorization Certificate",This certificate lets a business run a safe deposit company.
Savings Bank Life Insurance Certificate Holder,"People or businesses that handle life insurance need a certificate. This certificate is from the New York State Department of Financial Services (DFS). With it, savings banks can have departments to sell life insurance."
"Scrap Collector, Official Business Certificate","If you collect and dispose of scrap metal from cars, you need a certificate. The New York State DMV gives this certificate. Repair shops must say they dispose of scrap on their Repair Shop application."
"Scrap Processor, Official Business Certificate",Scrap processors buy vehicles to turn them into scrap. They are certified by the New York State Department of Motor Vehicles (DMV). Processors do not sell vehicles or their parts.
Seafood Delivery Business,"If you deliver seafood in New York City, you need a Seafood Delivery Business Registration. This is for businesses that use trucks or other vehicles to deliver seafood from wholesalers to stores or other wholesalers."
Temporary Place of Assembly Certificate of Operation,Most events with limited durations need a Temporary Place of Assembly (TPA) Certificate of Operation (TPACO).
Temporary Waterfront Place of Assembly Certificate of Operation,You need a Temporary Waterfront Event Certificate for events on City-owned waterfront property. You need this certificate if:
Therapeutic Radiation (LINAC)- Certified Registration of Units,The Department of Health and Mental Hygiene (DOHMH) gives Certified Registrations. This lets you use therapeutic radiation units (LINACs) to treat people.
Water Potability Certificate,The Department of Health and Mental Hygiene issues a Water Potability Certificate to wholesale food establishments. This certificate is needed if a government agency asks for it.
Waterfront Place of Assembly Certificate of Operation,You need a special permit called a Place of Assembly (PA) Certificate of Operation if:
Wholesale Seafood Business,"You need a Wholesale Seafood Business Registration to sell seafood at a New York City public wholesale market and sell seafood for resale to the public. If you sell seafood that another business has processed and packaged, you are not a wholesaler."
Workplace Safety and Loss Prevention Consultant Certificate,You need a license to give advice on workplace safety and workers' compensation. This license is from the New York State Department of Labor.
"Yacht Broker, Official Business Certificate",This certificate lets you help someone buy or sell a boat or yacht.
Accelerated Sales Tax Exemption Program (ASTEP),The Accelerated Sales Tax Exemption Program (ASTEP) helps businesses buy equipment or make renovations without paying sales tax. The New York City Industrial Development Agency (NYCIDA) runs ASTEP.
Business Incentive Rate,The Business Incentive Rate (BIR) is an energy discount program run by the New York City Economic Development Corporation (EDC) and Con Edison. The EDC can provide BIR benefits.
Commercial and Industrial Energy Efficiency Program,The Con Edison Commercial and Industrial Energy Efficiency (CIEE) Program gives cash rebates and incentives for energy-saving projects. Projects include installing energy-efficient equipment and technology. Only Con Edison gas and electric customers can join.
Commercial Expansion Program,"The Commercial Expansion Program (CEP) helps fill occupancy in offices and industrial spaces. CEP gives property tax benefits for new, renewal and expansion leases. These spaces must be built before January 1, 1999, and must be in a special zone. Applicants must also make some physical improvements to the spaces and common areas."
Commercial Revitalization Program,The Commercial Revitalization Program (CRP) helps improve some areas of the City. It focuses on older business areas and increasing office and store use. The program's tax benefits include property tax abatements and Commercial Rent Tax reductions. Eligible buildings must be nonresidential or mixed-use built before 1975 and located in specific abatement zones.
Disabled Access Credit and Additional Tax Deduction for Barrier Removal Costs for the Disabled or Elderly,Businesses can use two federal tax incentives to help cover the costs of making access improvements for customers with disabilities or the elderly. These incentives help businesses follow the Americans with Disabilities Act (ADA).
EDC Incentives,The New York City Economic Development Corporation (NYCEDC) can help lower project costs via tax incentives and bond financing. These incentives come from two groups:
Emerging Business Enterprise (EBE) Certification Program,"The Emerging Business Enterprise (EBE) Certification Program helps businesses owned, operated and controlled by people who face social and economic disadvantages. These businesses get special help with New York City contracts. The goal is to make city contracts fairer for these business owners."
Employment Incentive Credit,"The Employment Incentive Credit (EIC) is a tax credit for businesses in New York State. If your business claims the Investment Tax Credit (ITC) and creates new jobs, you may get the EIC for the next two years."
Empowerment Zone Wage Tax Credit,The Empowerment Zone Wage Tax Credit helps businesses in special areas called Empowerment Zones. They were created to encourage business growth and economic development in low-income communities. New York City has two Empowerment Zones. One is in Upper Manhattan. The other is in the South Bronx.
Energy Cost Savings Program,"The Energy Cost Savings Program (ECSP) helps businesses save money on energy. It can cut energy costs by up to 45 percent and natural gas costs by up to 35 percent. These savings last for eight years. After that, the savings go down by 20 percent each year for four more years."
Excelsior Jobs Program,The Excelsior Jobs Program helps businesses in certain industries in New York State. Businesses can get tax credits over 10 years for investing and creating new jobs.
Food Retail Expansion to Support Health (FRESH) Program,The Food Retail Expansion to Support Health (FRESH) program helps bring grocery stores to neighborhoods that need them. It offers zoning and financial incentives to make this happen.
Green Roof Property Tax Abatement Program,"The Green Roof Property Tax Abatement gives a one-year tax break. This is for building a green roof on homes and businesses in New York City. This program helps the City's long-term sustainability plan, PlaNYC."
Incentives Estimator,"The NYC Business Incentives Estimator helps businesses find and learn about city, state, and federal incentives that are directly applicable to their operations. By answering a series of questions regarding their businesses activities, location, and size, users receive a list of incentives programs they are estimated to be eligible for. Additionally, the Incentives Estimator also provides users with pro forma calculations for estimated savings with an estimated yearly benefit schedule based on their answers. Please note that the Incentives Estimator is now updated."
Incentives for Exporters,Businesses that export or import goods can get help from the state and federal government.
Industrial and Commercial Abatement Program (ICAP),"The Industrial and Commercial Abatement Program (ICAP) helps lower property taxes for up to 25 years for industrial and commercial buildings that are updated, expanded or improved. ICAP replaced the Industrial Commercial Exemption Program (ICIP) in 2008. ICIP benefits approved before 2008 are still valid."
Industrial Business Zone Relocation Credit,"The Industrial Business Zone (IBZ) Relocation Tax Credit is a one-time tax credit. It gives $1,000 per moved worker to industrial and manufacturing firms. These firms must move to one of the City's 21 IBZs. Firms moving within an IBZ can also get this credit."
Industrial Effectiveness Program,The Industrial Effectiveness Program helps factories improve and grow. Empire State Development runs this program.
Investment Tax Credit,"Businesses in New York State can get a tax credit when they invest in buildings, machines or equipment. This credit is called the Investment Tax Credit (ITC)."
Locally Based Enterprise (LBE) Certification Program,The Locally-Based Enterprise (LBE) Certification Program helps businesses in poor areas of the city. It also helps businesses that hire economically disadvantaged people. These businesses get at least 10% of subcontracting opportunities on City construction jobs.
Lower Manhattan Energy Program,"The Lower Manhattan Energy Program (LMEP) helps property owners and business renters save money on electricity. They can save up to 45% on electricity costs. These savings last for eight years. After that, the savings go down by 20% each year for four more years."
Lower Manhattan Relocation Employment Assistance for Eligible Businesses,The Lower Manhattan Relocation and Employment Assistance Program for Eligible Businesses (LMREAP-EB) gives tax credits to businesses that move to Lower Manhattan. Your business has to move at least one employee from outside the LMREAP-EB area to a qualified location to be eligible.
Lower Manhattan Relocation Employment Assistance Program for Special Eligible Businesses,"The Lower Manhattan Relocation and Employment Assistance Program for Special Eligible Businesses (LMREAP-SEB) helps businesses that move to Lower Manhattan that do not qualify for the Lower Manhattan Relocation and Employment Assistance Program for Eligible Businesses (LMREAP-EB) because they already had employees in Manhattan before relocation. To apply, your business must move from outside the City to a qualified location."
Made in NY Marketing Credit,"The ""Made in NY"" Marketing Credit program helps film and TV shows get free co-branded ads in New York City, the U.S.'s top media market. To qualify, at least 75 percent of your film or TV show must be made in New York City."
Manufacturing Assistance Program,The Manufacturing Assistance Program provides monetary grants for manufacturing businesses. Grants are for projects to improve productivity or competitiveness.
Minority and Women-owned Business Enterprise (M/WBE) Certification Program,"The City of New York Minority and Women-owned Business Enterprise (M/WBE) Program helps you, as a minority and/or women entrepreneur, access government contracts and grow your businesses. When you get certified with the City, your business becomes more visible to buyers, including City agencies and private contractors looking to purchase goods and services."
National Grid Commercial and Industrial Efficiency Program,National Grid's Commercial and Industrial Efficiency Program helps businesses in New York City save on natural gas. This program used to be called the Economic Development Gas Rate (EDGAR).
New Markets Revolving Loan Fund,"The New Markets Revolving Loan Fund (NMRLF) is a federal program to help small business owners in low-income areas get loans. The program gives money to loan providers, then the providers must match the funds dollar for dollar."
New Markets Tax Credit Program,"The New Markets Tax Credit (NMTC) is a federal program that helps provide money for buying, building and fixing up buildings in low-income areas. This includes:"
"New York City Brownfield Incentive Grant (BIG) Program, Pre-Development Design Grant",The Pre-Development Design Grant helps with early planning for brownfield redevelopment. Brownfields are empty or underused sites where environmental contamination may complicate redevelopment or reuse. These grants help with redevelopment planning before environmental field investigation and clean up.
NYC Accelerator Services,"NYC Accelerator offers free, personalized guidance to help your building use less energy, saving you money and helping the environment. The program also helps you follow New York City's rules for cutting greenhouse gases (Local Law 97 and the Climate Mobilization Act)."
